127.0.0.1 - - [27/Jun/2024:22:04:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:18 +0700] "GET /Lab1/index.jsp HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:20 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:32 +0700] "GET /Lab1/bai1.jsp HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:33 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:33 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:34 +0700] "GET /Lab1/bai3 HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:35 +0700] "GET /Lab1/bai2 HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:36 +0700] "GET /Lab1/bai1.jsp HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:37 +0700] "GET /Lab1/bai1.jsp HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [27/Jun/2024:22:04:38 +0700] "GET /Lab1/index.jsp HTTP/1.1" 200 1819
